Field Name,Description,Data Source,Geographic Coverage*
D1c8_Ed,Gross education(8-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c8_Hlth,Gross health care (8-tier) employment density (jobs/acre) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D1c8_Pub,"Gross retail (8-tier) employment density (jobs/acre) on - (Dataset includes Blockwise mean and median localized to Census Tract) 
 unprotected land","Derived from other SLD
 variables",50 States
D1d,Gross activity density (employment + HUs) on unprotected land - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (employment and housing), PR (housing only),
 OT (housing only)"
D1_Flag,Flag indicating that density metrics are based on total CBG land acreage rather than unprotected acreage - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States, PR, OT"
D2a_JpHH,Jobs per household - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D2b_E5Mix,5-tier employment entropy (denominator set to observed employment types in the CBG) - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D2b_E5MixA,5-tier employment entropy (denominator set to the static 5 employment types in the CBG) - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D2b_E8Mix,8-tier employment entropy (denominator set to observed employment types in the CBG) - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D2b_E8MixA,8-tier employment entropy (denominator set to the static 8 employment types in the CBG) - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D2a_EpHHm,Employment and household entropy - (Dataset includes Blockwise mean and median localized to Census Tract) - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States, PR
 (housing only), OT (housing only)"
D2c_TrpMx1,Employment and Household entropy (based on vehicle trip production and trip attractions including all 5 employment categories) - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States, PR (housing only),
 OT (housing only)"
D2c_TrpMx2,"Employment and Household Entropy calculations, based on trips production and trip attractions including 4 of the 5 employment categories (excluding industrial) - (Dataset includes Blockwise mean and median localized to Census Tract) ",Derived from other SLD variables,"50 States, PR (housing only),
 OT (housing only)"
D2c_TripEq,"Trip productions and trip attractions equilibrium index; the closer to one, the more balanced the trip making - (Dataset includes Blockwise mean and median localized to Census Tract) ",Derived from other SLD variables,50 States
D2r_JobPop,Regional Diversity. Standard calculation based on population and total employment: Deviation of CBG ratio of jobs/pop from the regional average ratio of jobs/pop - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States, PR (housing only)"
D2r_WrkEmp,"Household Workers per Job, as compared to the region: Deviation of CBG ratio of household workers/job from regional average ratio of household workers/job - (Dataset includes Blockwise mean and median localized to Census Tract) ",Derived from other SLD variables,50 States
D2a_WrkEmp,"Household Workers per Job, by CBG - (Dataset includes Blockwise mean and median localized to Census Tract) ",Derived from other SLD variables,50 States
D2c_WrEmIx,Household Workers per Job Equilibrium Index; the closer to one the more balanced the resident workers and jobs in the CBG. - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D3a,Total road network density - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D3aao,Network density in terms of facility miles of auto-oriented links per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D3amm,Network density in terms of facility miles of multi-modal links per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D3apo,Network density in terms of facility miles of pedestrian-oriented links per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,"2018 HERE Maps
 NAVSTREETS","50 States, PR, VI"
D3b,"Street intersection density (weighted, auto-oriented intersections eliminated) - (Dataset includes Blockwise mean and median localized to Census Tract) ",2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D3bao,Intersection density in terms of auto-oriented intersections per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D3bmm3,"Intersection density in terms of multi-modal intersections - (Dataset includes Blockwise mean and median localized to Census Tract) 
 having three legs per square mile","2018 HERE Maps
 NAVSTREETS","50 States, PR, VI"
D3bmm4,Intersection density in terms of multi-modal intersections having four or more legs per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D3bpo3,Intersection density in terms of pedestrian-oriented intersections having three legs per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D3bpo4,Intersection density in terms of pedestrian-oriented intersections having four or more legs per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,2018 HERE Maps NAVSTREETS,"50 States, PR, VI"
D4a,Distance from the population-weighted centroid to nearest transit stop (meters) - (Dataset includes Blockwise mean and median localized to Census Tract) ,"2020 GTFS, 2020 CTOD","50 States (participating
 GTFS transit service areas), PR"
D4b025,Proportion of CBG employment within ¼ mile of fixed- guideway transit stop - (Dataset includes Blockwise mean and median localized to Census Tract) ,"2020 GTFS, 2020 CTOD, 2018 USGS PAD-US, SLD
 unprotected area polygons","50 States, PR"
D4b050,Proportion of CBG employment within ½ mile of fixed- guideway transit stop - (Dataset includes Blockwise mean and median localized to Census Tract) ,"2020 GTFS, 2020 CTOD, 2018 USGS PAD-US","50 States, PR"
D4c,Aggregate frequency of transit service within 0.25 miles of CBG boundary per hour during evening peak period - (Dataset includes Blockwise mean and median localized to Census Tract) ,2020 GTFS,"50 States (participating GTFS transit
 service areas)"
D4d,Aggregate frequency of transit service [D4c] per square mile - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating
 GTFS transit service areas)"
D4e,Aggregate frequency of transit service [D4c] per capita - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating
 GTFS transit service areas)"
D5ar,"Jobs within 45 minutes auto travel time, time- decay (network travel time) weighted - (Dataset includes Blockwise mean and median localized to Census Tract) ","2020 TravelTime API, 2017 Census LEHD",50 States
D5ae,"Working age population within 45 minutes auto travel time, time-decay (network travel time) weighted - (Dataset includes Blockwise mean and median localized to Census Tract) ","2020 TravelTime API, 2018 Census ACS",50 States
D5br,"Jobs within 45-minute transit commute, distance decay (walk network travel time, GTFS schedules) weighted - (Dataset includes Blockwise mean and median localized to Census Tract) ","2020 TravelTime API, 2017 Census LEHD, 2020 GTFS","50 States (participating GTFS transit
 service areas)"
D5be,"Working age population within 45-minute transit commute, time decay (walk network travel time, GTFS schedules) weighted - (Dataset includes Blockwise mean and median localized to Census Tract) ","2020 TravelTime API, 2018 Census ACS, 2020 GTFS","50 States (participating GTFS transit
 service areas)"
D5cr,Proportional Accessibility to Regional Destinations - Auto: Employment accessibility expressed as a ratio of total CBSA accessibility - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D5cri,Regional Centrality Index – Auto: CBG [D5cr] score relative to max CBSA [D5cr] score - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D5ce,Proportional Accessibility to Regional Destinations - Auto: Working age population accessibility expressed as a ratio of total CBSA accessibility - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D5cei,Regional Centrality Index – Auto: CBG [D5ce] score relative to max CBSA [D5ce] score - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D5dr,Proportional Accessibility of Regional Destinations - Transit: Employment accessibility expressed as a ratio of total MSA accessibility - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,50 States
D5dri,Regional Centrality Index – Transit: CBG [D5dr] score relative to max CBSA [D5dr] score - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating
 GTFS transit service areas)"
D5de,Proportional Accessibility of Regional Destinations - Transit: Working age population accessibility expressed as a ratio of total MSA accessibility - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating
 GTFS transit service areas)"
D5dei,Regional Centrality Index – Transit: CBG [D5de] score relative to max CBSA [D5de] score - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating GTFS transit
 service areas)"
D2A_Ranked,Quantile ranked order (1-20) of [D2a_EpHHm] from lowest to highest - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating GTFS transit
 service areas)"
D2B_Ranked,Quantile ranked order (1-20) of [D2b_E8MixA] from lowest to highest- (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating
 GTFS transit service areas)"
D3B_Ranked,Quantile ranked order (1-20) of [D3b] from lowest to highest - (Dataset includes Blockwise mean and median localized to Census Tract) ,Derived from other SLD variables,"50 States (participating
 GTFS transit service areas)"
D4A_Ranked,"Quantile ranked order (1,13-20)6 of [D4a] from lowest to highest - (Dataset includes Blockwise mean and median localized to Census Tract) ",Derived from other SLD variables,"50 States (participating GTFS transit
 service areas)"
NatWalkInd,"Walkability index comprised of weighted sum of the ranked values of [D2a_EpHHm] (D2A_Ranked), [D2b_E8MixA] (D2B_Ranked), [D3b] (D3B_Ranked) 
and [D4a] (D4A_Ranked) ",Derived from other SLD variables,"50 States (participating GTFS transit
 service areas)"
